ik14,canon_smiles,cmax_mg_L,dose_mg,n_records,n_sources,cmax_per_dose,log_cmax_per_dose
DOAKLVKFURWEDJ,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,54.8,123.0,8,2,0.4455284552845528,-0.3511245529550288
DRMJRHUMYBYDIX,CC(=O)Nc1cc(-c2c(-c3ccc(F)cc3)nc([S+](C)[O-])n2C)ccn1,0.114969141,20.0,7,1,0.00574845705,-2.2404487091526737
DXNPMWVLIOKPNO,Nc1nc2c(ncn2[C@H]2CO[C@@H](CO)O2)c(=O)[nH]1,1.4299991771999998,500.0,4,1,0.0028599983543999997,-2.5436342167573924
DYIIYIJHDMIABW,CCC(=O)c1sc(-c2ccc(Cl)cc2)c(C)c1-c1ccc(S(N)(=O)=O)cc1,0.0251010092,100.0,1,1,0.000251010092,-3.6003088171173614
DYKFCLLONBREIL,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.5999987443999999,100.0,1,1,0.005999987443999999,-2.221849658450893
DYLGFOYVTXJFJP,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,1.286501611,120.0,8,2,0.010720846758333335,-1.9697709116629598
DZZWHBIBMUVIIW,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,1.0000019476,400.0,1,1,0.0025000048689999997,-2.6020591454968534
FAEKWTJYAYMJKF,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,0.051401782,2.0,12,1,0.025700891,-1.5900518202610874
FDLYAMZZIXQODN,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,2.5999988210000002,400.0,1,1,0.0064999970525,-2.187086840293033
FDMUNKXWYMSZIR,C[C@H]1[C@H](N2CCS(=O)(=O)CC2)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,0.14464917484999995,40.0,22,1,0.003616229371249999,-2.44174403076611
FDTZUTSGGSRHQF,O=C(Nc1ncc([N+](=O)[O-])s1)c1ccccc1O,10.600000075,500.0,1,1,0.021200000150000002,-1.6736641359984101
FIHJKUPKCHIPAT,C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,0.26214858345000003,4.0,2,1,0.06553714586250001,-1.1835124760320272
FJPYVLNWWICYDW,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1.[Na+],4.1681273026,300.0,3,2,0.013893757675333334,-1.8571802800394177
FWCVZAQENIZVMY,CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O,190.569093,2800.0,2,1,0.06806039035714286,-1.1671055643576507
FYMYTDSZTBRCGD,C[C@H]1[C@H](N2CCS(=O)(=O)CC2)O[C@@H]2O[C@]3(C)C[C@H](O)[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,0.0664984104,80.0,5,1,0.00083123013,-3.0802787230837203
GAWUJFVQGSLSSZ,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(O)(CC(O)(C3)C1)C2,0.6060014699999999,50.0,1,1,0.0121200294,-1.916496326684396
GCWIQUVXWZWCLE,Cc1noc2c1-c1ccccc1C(c1ccc(Cl)cc1)=N[C@H]2CC(N)=O,2.158338,300.0,1,1,0.007194460000000001,-2.1430017976719546
GEJDELDOOCQBCA,C[C@@]1(O)CC[C@H]2[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](C(=O)CO)CC[C@@H]32)C1,0.042464774999999996,30.0,2,1,0.0014154925,-2.8490924274060796
GGXKWVWZWMLJEH,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,1.9900007787999998,1.4,4,2,1.4214291277142856,0.15272521069552705
GJJFMKBJSRMPLA,CCN(CC)C(=O)C1(c2ccccc2)CC1CN,0.2396,100.0,1,1,0.002396,-2.620513186282726
GMRJAYKIRXDGFT,CN(C)C(=O)[C@H]1CC[C@H](NC(=O)C(=O)Nc2ccc(Cl)cn2)[C@H](NC(=O)c2nc3c(s2)CNCC3)C1,0.006990583599999998,60.0,1,1,0.00011650972666666664,-3.9336378166008106
GMRQFYUYWCNGIN,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,4.6873125,400.0,2,1,0.01171828125,-1.9311360827189081
GQBBFWBKVSQZFY,O=C([O-])C[C@H](O)C[C@H](O)CCn1c(-c2ccc(F)cc2)nc(C(=O)NCc2cccc(F)c2)c1C1CC1.[Na+],0.006558781200000001,180.0,4,1,3.6437673333333334e-05,-4.4384493619612355
GXLLHVAGVUSWTO,CNC(=O)[C@@H](c1ccccc1)[n+]1ccc2cc(OC)c(OC)cc2c1CCc1ccc(C(F)(F)F)cc1,0.08040189449999999,200.0,1,1,0.00040200947249999995,-3.3957637135672405
GXPHKUHSUJUWKP,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,2.781765,600.0,1,1,0.0046362750000000005,-2.3338308118282782
HBEMHKVWZJTVOC,CS(=O)(=O)O.OCCn1cc(-c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1,0.30194356499999997,30.0,1,1,0.0100647855,-1.9971954763301236
HBLWMMBFOKSEKW,O=C(O)[C@H]1O[C@@H](Oc2c(O)cc3oc(-c4ccc(O)cc4)cc(=O)c3c2O)[C@H](O)[C@@H](O)[C@@H]1O,0.08692368,60.0,1,1,0.001448728,-2.839013146059338
HGVDHZBSSITLCT,CN1CCc2nc([14C](=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1,0.3502672067999999,60.0,3,1,0.005837786779999998,-2.233751771280256
HLFSDGLLUJUHTE,c1ccc([C@H]2CN3CCSC3=N2)cc1,0.716999022,150.0,3,1,0.0047799934799999996,-2.320572695773227
HLFSMUUOKPBTSM,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)c(NC(=O)CN5CCCC5)cc(F)c4C[C@H]3C[C@@H]12,0.15999951199999998,100.0,1,1,0.0015999951199999998,-2.795881341944265
HRJWTAWVFDCTGO,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2,0.7125008804999999,50.0,12,1,0.014250017609999999,-1.8461845989592534
HSBKFSPNDWWPSL,Nc1nc(=O)n([C@@H]2C=C[C@H](CO)O2)cc1F,0.0444997053,15.0,8,2,0.0029666470199999997,-2.52773412418728
