canonical_smiles,name,log_vdss,ik14
CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,Sulpiride,0.43456890403419873,BGRJTUBHPOOWDU
C=C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,Voclosporin,0.3424226808222063,BICRTLVBTLFLRD
CC1=C[C@@H]2CN(C(=O)N2OS(=O)(=O)O)[C@@H]1C(N)=O,Durlobactam,-0.3636554115119518,BISPBXFUKNXOQY
C[C@H]1[C@@H](O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,Artenimol,-0.09636748391576232,BJDCWCLMFKKGEE
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC,Gestrinone,-0.01902323731343038,BJJXHLWLUDYTGC
CC(=O)O.CC(=O)O.CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1cn(Cc2ccccc2)cn1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1,Histrelin,-0.07868519290185734,BKEMVGVBBDMHKL
CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,Goserelin,-0.2006594505464183,BLCLNMBMMGCOAS
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,Timolol,0.17609125905568124,BLJRIMJGRPQVNF
CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1,Carfilzomib,-0.3979400086720376,BLMPQMFVWMYDKT
COc1ccc2cc(CCC(C)=O)ccc2c1,Nabumetone,-0.8239087409443188,BLXXJMDCKKHMKV
COc1cc(F)c(-n2c(=O)[nH]c3csc(C(=O)O)c3c2=O)cc1OCc1c(OC)ccc(F)c1F,Linzagolix,-0.801068130067791,BMAAMIIYNNPHAB
CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,Midostaurin,0.13353890837021754,BMGQWWVMWDBQGC
CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,Cabazitaxel,1.0914157024646365,BMQGVNUXMIRLCK
CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(COC[C@@]4(C)[C@@H](OC[C@](C)(N)C(C)(C)C)[C@H](n4ncnc4-c4ccncc4)C5)C3=CC[C@@]2(C)[C@@H]1C(=O)O,Ibrexafungerp,0.9330532103693868,BODYFEUFKHPRCK
O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,Deferasirox,-0.6876412718800312,BOFQWVMAQOTZIW
C[C@H](/C=C/[C@H](C)C(C)(C)O)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@]12C,Paricalcitol,-0.3565473235138126,BPKAHTKRCLCHEA
CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O,Phenoxymethylpenicillin,-0.29609477798846906,BPLBGHOLXOTWMN
CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,Vismodegib,-0.42021640338318983,BPQMGSKTAYIVFO
CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,Rosuvastatin,0.28200675835055083,BPRHUIZQVSMCRT
COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,Oxycodone,0.414973347970818,BRUQQQPBMZOVGD
O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1,Cobimetinib,1.061237001790834,BSMCAPRUBJMWDF
CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,Finerenone,-0.12411229586051775,BTBHLEZXCOBLCY
C=CC(=O)Nc1cc(Nc2nccc(Nc3cc(Cl)c(F)cc3C(C)(C)O)n2)c(OC)cc1N1CC[C@@H](N(C)C)C1,Sunvozertinib,1.4804176233488913,BTMKEDDEMKKSEF
CC12CC3CC(C)(C1)CC(N)(C3)C2,Memantine,1.0,BUGYDGFZZOZRHP
C[C@@]1(C(=O)N[C@@H](CCC(=O)O)C(=O)O)CCCN1C(=O)CN,Trofinetide,0.05799194697768673,BUSXWGRAOZQTEY
COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc3c(c2)O[C@@H](c2ccccc2)n2c-3cc3cc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)ccc32)[nH]1)C(C)C,Elbasvir,0.9874108726919795,BVAZQCUMNICBAQ
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,Miconazole,0.8920946026904804,BYBLEWFAAKGYCD
O=C(O)COc1nn(Cc2ccccc2)c2ccccc12,Bendazac,-0.7958800173440752,BYFMCKSPFYVMOU
[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,Deucravacitinib,0.3010299956639812,BZZKEPGENYLQSC
O=C(c1ccccc1Cl)c1cccnc1-c1nnn(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1ccncc1,Tradipitant,1.4462708104373259,CAVRKWRKTNINFF
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,Temsirolimus,0.3904304068932921,CBPNZQVSJQDFBE
C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,Ritlecitinib,0.11394335230683679,CBRJPFGIXUFMTM
O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,Inositol,-0.2911543619518211,CDAISMWEOUEBRE
CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2cnc(NC)cc21,Ripretinib,0.6420403354629297,CEFJVGZHQAGLHS
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,Aripiprazole,0.6901960800285137,CEUORZQYGODEFX
O=C1/C(=C2\Nc3ccc(S(=O)(=O)O)cc3C2=O)Nc2ccc(S(=O)(=O)O)cc21,Indigotindisulfonic acid,-0.8157142623290472,CFZXDJWFRVEWSR
COc1ccc(Oc2cc(N(C)CCOc3ccc(CC4SC(=O)NC4=O)cc3)ncn2)cc1,Lobeglitazone,-0.6335770427740273,CHHXEZSCHQVSRE
O=C1CN=C(c2ccccc2Cl)c2cc(Cl)ccc2N1,Delorazepam,2.146128035678238,CHIFCDOIPRCHCF
O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ga+3],Gallium nitrate,0.10380372095595687,CHPZKNULDCNCBW
C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,Methyldopa,-0.24795155218056153,CJCSPKMFHVPWAR
C=C1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@@]1(OC(C)=O)C(C)=O,Segesterone acetate,1.2922560713564761,CKFBRGLGTWAVLG
COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1,Encorafenib,0.3697458080334411,CMJCXYNUCSMDBY
