name,f_pct,raw,smiles
Ipratropium,2.0,ipratropium is a topically active but poorly absorbed agent.[t539] the lack of absorption potential in the mucosal surfa,CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2
Methadone,100.0,methadone is one of the more lipid-soluble opioids and is well absorbed from the gastrointestinal tract. following oral ,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
Diltiazem,40.0,diltiazem is readily absorbed from the gastrointestinal tract. minimum therapeutic plasma diltiazem concentrations appea,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
Alfuzosin,49.0,alfuzosin is readily absorbed in the gastrointestinal tract and the absolute bioavailability under fed conditions is 49%,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC
Methylergometrine,78.0,absorption is rapid after oral (60% bioavailability) and intramuscular (78% bioavailability) administration.,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
Mefloquine,40.0,mefloquine is readily absorbed from the gastrointestinal tract; food significantly increases absorption and increases bi,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1
Grepafloxacin,70.0,rapidly and extensively absorbed following oral administration. the absolute bioavailability is approximately 70%.,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1
Levonorgestrel,100.0,orally administered levonorgestrel is absorbed in the gastrointestinal tract while levonorgestrel administered through a,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
Mirtazapine,50.0,"the absorption of this drug is rapid and complete.[a177826, fda label] due to first pass metabolism in the liver and met",CN1CCN2c3ncccc3Cc3ccccc3C2C1
Timolol,60.0,"the systemic bioavailability of the ophthalmic eyedrop in one study of healthy volunteers was 78.0 ± 24.5% [a179539], in",CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1
Treprostinil,100.0,"after subcutaneous infusion, treprostinil is completely absorbed, with a bioavailability of about 100%, and it reaches s",CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O
Dydrogesterone,28.0,rapidly absorbed in the gastrointestinal tract with a bioavailability of 28%.,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C
Mexiletine,90.0,well absorbed (bioavailability 90%) from the gastrointenstinal tract.,Cc1cccc(C)c1OCC(C)N
Amlodipine,90.0,amlodipine absorbed slowly and almost completely from the gastrointestinal tract. peak plasma concentrations are achieve,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
Tacrine,17.0,tacrine is rapidly absorbed. absolute bioavailability of tacrine is approximately 17%.,Nc1c2c(nc3ccccc13)CCCC2
Triamterene,67.0,"triamterene is shown to be rapidly absorbed in the gastrointestinal tract [l6166,t28] its onset of action achiveved with",Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
Digoxin,100.0,digoxin is approximately 70-80% absorbed in the first part of the small bowel.[a178228]  the bioavailability of an oral ,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
Sulpiride,9.0,sulpiride has an oral bioavailability of 27 ± 9%.[a229653] a 100-108 mg dose of sulpiride reaches a c<sub>max</sub> of 2,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
Nimodipine,100.0,"in humans, nimodipine is rapidly absorbed after oral administration, and peak concentrations are generally attained with",COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
Phenylpropanolamine,38.0,reduced bioavailability (about 38%) from gastrointestinal tract because of first pass metabolism by monoamine oxidase in,CC(N)C(O)c1ccccc1
Sorafenib,49.0,the administration of multiple doses for seven days resulted in a 2.5- to 7-fold accumulation compared to a single dose.,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
Nisoldipine,5.0,relatively well absorbed into the systemic circulation with 87% of the radiolabeled drug recovered in urine and feces. t,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
Alprazolam,91.0,"alprazolam administered orally is rapidly absorbed in the gastrointestinal tract, reaching c<sub>max</sub> in about 1.8 ",Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
Rosiglitazone,99.0,the absolute bioavailability of rosiglitazone is 99%. peak plasma concentrations are observed about 1 hour after dosing.,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1
Miglustat,97.0,mean oral bioavailability is 97%.,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
Spironolactone,95.4,"the mean time to reach peak plasma concentration of spironolactone and the active metabolite, canrenone, in healthy volu",CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12
Prochlorperazine,12.5,"following oral administration, prochlorperazine is reported to be well absorbed from the gastrointestinal tract. the ons",CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
Cerivastatin,60.0,the mean absolute oral bioavailability 60% (range 39 - 101%).,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1
Entecavir,100.0,"absorption following oral administration in healthy subjects, entecavir peak plasma concentrations occurred between 0.5 ",C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)nc(N)[nH]c21
